price,city,area,district,bedrooms,apartment,bathrooms,furnished,kitchen,floor,air_condition,source
190000,مدينة جدة,117,حي الشاطئ,2,شقة,3,No,Yes,Unknown,No,aqar
50000,مدينة الرياض,630,حي ظهرة البديعة,3,شقة,4,No,No,Unknown,Yes,aqar
50000,مدينة الرياض,500,حيازين,2,شقة,2,No,Yes,2,No,aqar
42000,مدينة الرياض,150,حي النفل,,شقة,1,No,Yes,Unknown,No,aqar
45000,مدينة جدة,750,حي المروة,5,شقة,3,No,Yes,4,No,aqar
50000,مدينة الرياض,136,حي العارض,3,شقة,2,No,Yes,3,Yes,aqar
48000,مدينة الرياض,143,حي العارض,3,شقة,2,No,Yes,2,Yes,aqar
190000,مدينة الرياض,110,حي المحمدية,2,شقة,2,No,No,1,No,aqar
40000,مدينة الرياض,95,حي الرمال,3,شقة,0,No,Yes,Unknown,Yes,aqar
60000,مدينة الرياض,142,حي النرجس,3,شقة,3,No,Yes,2,Yes,aqar
24000,مدينة الرياض,60,حي المونسية,1,شقة,1,No,Yes,3,Yes,aqar
42000,مدينة الرياض,334,حي المونسية,1,شقة,2,No,Yes,2,No,aqar
38000,مدينة الرياض,60,حي الإزدهار,1,شقة,1,No,Yes,1,No,aqar
100000,مدينة الرياض,203,حي الملقا,3,شقة,4,Yes,No,2,No,aqar
70000,مدينة الرياض,500,حي المونسية,2,شقة,3,No,Yes,2,Yes,aqar
32400,مدينة حفر الباطن,99,حي البلدية,1,شقة,1,No,No,Unknown,No,aqar
35000,مدينة الرياض,350,حي المونسية,3,شقة,2,No,Yes,2,Yes,aqar
80000,مدينة الرياض,103,حي المونسية,3,شقة,3,No,Yes,1,No,aqar
90000,مدينة الرياض,115,حي العارض,4,شقة,0,No,Yes,Unknown,Yes,aqar
3600,مدينة جدة,650,حي النزهة,2,شقة,1,No,Yes,3,No,aqar
25200,مدينة الرياض,124,حي النسيم الشرقي,3,شقة,1,No,Yes,1,No,aqar
25000,مدينة جدة,900,حي الرياض,4,شقة,3,No,Yes,2,No,aqar
75000,مدينة الرياض,1190,حي النرجس,4,شقة,3,No,Yes,1,Yes,aqar
60000,مدينة الرياض,473,حي العارض,3,شقة,0,No,Yes,Unknown,Yes,aqar
78000,مدينة الرياض,2,حي المحمدية,,شقة,1,No,Yes,Unknown,No,aqar
50400,مدينة الرياض,120,حي اليرموك,4,شقة,2,No,No,3,No,aqar
27000,مدينة الرياض,100,حي الريان,1,شقة,1,No,Yes,2,No,aqar
68000,مدينة الرياض,233,حي الندى,3,شقة,2,No,Yes,1,Yes,aqar
45000,مدينة الرياض,120,حي المونسية,3,شقة,2,No,Yes,1,Yes,aqar
20000,مدينة الرياض,152,حي الدار البيضاء,1,شقة,1,No,Yes,2,No,aqar
65000,مدينة الرياض,127,حي الملقا,3,شقة,2,No,Yes,3,No,aqar
75000,مدينة الرياض,103,حي الشهداء,3,شقة,3,No,Yes,1,Yes,aqar
120000,مدينة الرياض,147,حي الملقا,3,شقة,3,Yes,Yes,3,No,aqar
26000,مدينة الرياض,70,حي الفلاح,1,شقة,1,No,Yes,1,No,aqar
39600,مدينة الرياض,90,حي القادسية,1,شقة,1,Yes,No,2,Yes,aqar
40000,مدينة الرياض,55,حي المونسية,2,شقة,3,No,No,1,No,aqar
110000,مدينة الرياض,166,حي عرقة,3,شقة,3,No,Yes,2,Yes,aqar
75000,مدينة الرياض,137,حي قرطبة,4,شقة,3,No,Yes,2,Yes,aqar
50000,مدينة الرياض,148,حي القيروان,4,شقة,2,No,Yes,2,No,aqar
35000,مدينة الرياض,750,حي النزهة,2,شقة,1,No,Yes,Unknown,Yes,aqar
49000,مدينة الرياض,152,حي الندى,1,شقة,1,No,Yes,1,Yes,aqar
50000,مدينة الرياض,153,حي ظهرة لبن,4,شقة,3,No,Yes,1,Yes,aqar
110000,مدينة الرياض,109,حي الغدير,3,شقة,2,No,Yes,Unknown,No,aqar
150000,مدينة الخبر,162,حي البحر,3,شقة,4,Yes,Yes,Unknown,No,aqar
38000,مدينة الرياض,150,حي العقيق,,شقة,1,No,Yes,Unknown,No,aqar
80000,مدينة الرياض,142,حي الياسمين,4,شقة,3,No,Yes,2,Yes,aqar
26400,مدينة المدينه المنوره,625,حي العريض,,شقة,1,No,Yes,1,No,aqar
45000,مدينة الرياض,166,حي ظهرة لبن,3,شقة,3,No,Yes,2,Yes,aqar
90000,مدينة الرياض,133,حي غرناطة,4,شقة,3,No,Yes,1,Yes,aqar
37000,مدينة الرياض,500,حي الفلاح,,شقة,1,No,No,2,No,aqar
2700,مدينة الرياض,100,حي الرمال,1,شقة,0,No,Yes,Unknown,No,aqar
120000,مدينة الرياض,7328,حي النرجس,3,شقة,3,Yes,Yes,1,Yes,aqar
4500,مدينة الرياض,178,حي أم الحمام الغربي,1,شقة,0,No,Yes,Unknown,Yes,aqar
55000,مدينة الرياض,105,حي الملقا,3,شقة,2,No,Yes,2,Yes,aqar
75000,مدينة الرياض,135,حي النرجس,3,شقة,3,No,Yes,1,Yes,aqar
35000,مدينة الخبر,144,حي الحمراء,3,شقة,2,No,Yes,Unknown,Yes,aqar
120000,مدينة الرياض,153,حي حطين,4,شقة,3,Yes,Yes,2,No,aqar
37000,مدينة الرياض,45,حي الصحافة,1,شقة,1,No,Yes,1,No,aqar
65000,مدينة الرياض,104,حي النرجس,3,شقة,3,No,Yes,1,Yes,aqar
75000,مدينة الرياض,130,حي النرجس,3,شقة,3,No,Yes,3,Yes,aqar
23000,مدينة الرياض,90,حي إشبيلية,1,شقة,1,No,Yes,1,Yes,aqar
45000,مدينة الرياض,336,حي العارض,3,شقة,2,No,Yes,2,Yes,aqar
30000,مدينة الرياض,1680,حي النهضة,,شقة,0,No,Yes,Unknown,No,aqar
120000,مدينة الرياض,77,حي الصحافة,1,شقة,2,No,Yes,Unknown,No,aqar
36000,مدينة الرياض,50,حي العزيزية,1,شقة,1,No,Yes,1,Yes,aqar
90000,مدينة الرياض,157,حي النرجس,3,شقة,0,No,Yes,Unknown,No,aqar
